"Crop","PlantedTime(ms)"
"Papaya","1428311519327"
"Papaya","1428311520905"
"Papaya","1428311522273"
"Papaya","1428311523512"
"Papaya","1428311524824"
"Papaya","1428311526204"
"Papaya","1428311527724"
"Papaya","1428311528974"
"Papaya","1428311530416"
